name,address,lat,lng
El Tinglado de Moncho's Restaurant,"Port Olimpic, Moll de Gregal, s/n, Barcelona, Spain",41.388798,2.200499
La Gavina,"PlaÃ§a Pau Vila, 1, Barcelona, Spain",41.380624,2.185152
Sandwich & Friends,"Paseo Born, 27, Barcelona, Spain",41.385294,2.18313
Daps,"Avinguda Diagonal, 469, Barcelona, Spain",41.393033,2.146639
Rosa Negra,"Via Laietana, 46, Barcelona, Spain",41.386469,2.175603
Tablao De Carmen,"Avinguda de Francesc Ferrer i GuÃ rdia, 13, Barcelona, Spain",41.368908,2.148852
Foix de SarriÃ ,"Carrer Major de SarriÃ , 57, Barcelona, Spain",41.39799,2.122564
La ProvenÃ§a,"ProvenÃ§a, 233, Barcelona, Spain",41.39329,2.159449
Boston Pizza,"Calle Mandri, 3, Barcelona, Spain",41.401548,2.135429
Nou Candanchu,"Plaza De la Vila de Gracia, 9, Barcelona, Spain",41.400501,2.157632
Bar Mut,"Calle Pau Claris, 192, Barcelona, Spain",41.397336,2.161305
Taverna del Bisbe,"Avinguda de la Catedral, 6, Barcelona, Spain",41.384931,2.176243
SMS DelÃ_cies,"Carrer d'AstÃºries, 33, Barcelona, Spain",41.403337,2.154227
Pim Pam Burger,"Carrer del Sabateret, 4, Barcelona, Spain",41.385714,2.18226
Casa Danone Restaurant,"Avinguda Diagonal, 477, Barcelona, Spain",41.392785,2.145684
Happy Bar & Grill Restaurant,"Rambla de Catalunya, 13, Barcelona, Spain",41.388001,2.16736
Rosa del Raval Restaurant,"Carrer dels Ã€ngels, 6, Barcelona, Spain",41.381892,2.168748
Starbucks,"Passeig de GrÃ cia, 97, Barcelona, Spain",41.395272,2.160525
The George Payne Irish Bar,"PlaÃ§a d'Urquinaona, 5, Barcelona, Spain",41.389492,2.172984
Fragments CafÃ©,"PlaÃ§a de la ConcÃ_rdia, 12, Barcelona, Spain",41.386657,2.132498
Creperie Bretonne Annaick,"Carrer de Ramon Trias Fargas, 2, Barcelona, Spain",41.38591,2.196715
El JardÃ_ de l'Ã€pat Restaurant,"Calle de Albert Llanas, 2, Barcelona, Spain",41.414848,2.159373
La Rita,"Carrer d'AragÃ_, 279, Barcelona, Spain",41.393167,2.165951
El Vaso De Oro,"Calle de Balboa, 6, Barcelona, Spain",41.381873,2.187148
CervecerÃ_a Catalana,"Carrer de Mallorca, 236, Barcelona, Spain",41.392372,2.160817
CervecerÃ_a Jazz,"Carrer de Margarit, 43, Barcelona, Spain",41.372297,2.163133
Restaurante Big Fish,"Carrer Comercial, 9, Barcelona, Spain",41.38617,2.184071
Pais Divino,"Carrer del Secretari Coloma, 67, Barcelona, Spain",41.409491,2.162821
Can Margarit,"Carrer de la ConcÃ_rdia, 21, Barcelona, Spain",41.37321,2.160038
Starbucks Coffee,"Avinguda Diagonal, 3, Barcelona, Spain",41.410138,2.216031
Restaurante Submari 2,"Carrer d'Europa, 28, Barcelona, Spain",41.387248,2.130904
Buenas Migas SL,"Ronda de Sant Pere, 27, Barcelona, Spain",41.389984,2.174977
El Burro Chilango Restaurant,"Carrer del Cinca, 86, Barcelona, Spain",41.440613,2.192174
La Bella Napoli,"Calle Margarit, 12-14, Barcelona, Spain",41.374237,2.163696
La Paradeta Sagarada Familia,"Passatge de SimÃ_, 18, Barcelona, Spain",41.404483,2.173421
La Burg,"Passeig de Sant Joan Bosco, 55, Barcelona, Spain",41.395034,2.126586
Alsur CafÃ© (El Born),"Plaza de Sant Cugat, 1, Barcelona, Spain",41.386636,2.179974
Piscolabis,"Avinguda Diagonal, 593, Barcelona, Spain",41.38877,2.130874
Can Paixano,"Carrer de la Reina Cristina, 7, Barcelona, Spain",41.381708,2.183421
Starbucks,"Carrer de Ferran, 25, Barcelona, Spain",41.381249,2.17527
El Otro Bar,"Travessera de GrÃ cia, 167, Barcelona, Spain",41.4014,2.157867
Starbucks,"Carrer de Muntaner, 239-253, Barcelona, Spain",41.394918,2.148237
CafÃ© San Telmo,"Carrer de Buenos Aires, 60, Barcelona, Spain",41.39351,2.147849
Vivanda,"Carrer Major de SarriÃ , 134, Barcelona, Spain",41.400482,2.120953
Taverna El Glop,"Carrer de Sant LluÃ_s, 24, Barcelona, Spain",41.404904,2.159542
Il Golfo Di Napoli Restaurant,"Carrer de Lleida, 38, Barcelona, Spain",41.372365,2.155336
la pubilla del taulat,"Carrer de MariÃ  AguilÃ_, 131, Barcelona, Spain",41.399811,2.205464
Virreina Bar,"PlaÃ§a de la Virreina, 1, Barcelona, Spain",41.404942,2.157562
Gelateria Caffetteria Italiana,"PlaÃ§a de la RevoluciÃ_ de Setembre de 1868, 2, Barcelona, Spain",41.402643,2.1584
Rembrandt,"Carrer de la Marina, 20, Barcelona, Spain",41.388809,2.195372
Xemei,"Paseo de la Exposicion, 85, Barcelona, Spain",41.371451,2.16075
La Briciola Restaurant,"Carrer d'Olzinelles, 19, Barcelona, Spain",41.373729,2.136523
Bar Fandango,"Via Augusta, 173, Barcelona, Spain",41.398266,2.142191
Jai-Ca,"Carrer de Ginebra, 13, Barcelona, Spain",41.38162,2.188217
Farggi,"Carrer de la Marina, 16, Barcelona, Spain",41.386166,2.198204
La Panxa del Bisbe,"Carrer de Rabassa, 37, Barcelona, Spain",41.407838,2.157798
Braseria El Glop Restaurant,"Carrer de Casp, 21, Barcelona, Spain",41.389404,2.170728
Starbucks,"Triangle Shopping Center, Calle Pelai, 13-39 local T, Barcelona, Spain",41.385778,2.167944
CervecerÃ_a Sants Bier,"Carrer de Sants, 89, Barcelona, Spain",41.375287,2.136199
Garlana Restaurant,"Carrer del CapitÃ  Arenas, 27, Barcelona, Spain",41.391113,2.125615
Sol de NIT,"PlaÃ§a del Sol, 9, Barcelona, Spain",41.401823,2.156893
La Botiga (Pedralbes) Restaurant,"Carrer de Gandesa, 10, Barcelona, Spain",41.388235,2.130369
Maitea,"Carrer de Casanova, 157, Barcelona, Spain",41.391086,2.15108
Mosquito,"Carrer dels Carders, 46, Barcelona, Spain",41.387421,2.180593
Dos Cielos,"Carrer de Pere IV, 272 - 286, Barcelona, Spain",41.406255,2.200565
Pizza que?,"Carrer de Rogent, 71, Barcelona, Spain",41.411473,2.18153
Bar Granja Les Corts,"Travessera de les Corts, 161, Barcelona, Spain",41.381859,2.12723
